City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
adamstown,-25.066,-130.1015,22.97,75.0,38.0,9.27,PN,1733614295.0
isafjordur,66.0755,-23.124,-3.53,77.0,99.0,6.65,IS,1733614296.0
iglino,54.8324,56.4126,-15.84,99.0,100.0,1.45,RU,1733614296.0
lihue,21.9789,-159.3672,26.77,74.0,20.0,3.6,US,1733614296.0
bethel,41.3712,-73.414,1.98,64.0,100.0,0.0,US,1733614111.0
kharan,28.5833,65.4167,7.21,28.0,1.0,2.19,PK,1733614297.0
ushuaia,-54.8,-68.3,8.81,71.0,75.0,3.6,AR,1733614130.0
hamilton,39.1834,-84.5333,4.91,50.0,0.0,5.14,US,1733614009.0
zayed city,24.3768,54.589,23.08,78.0,0.0,3.09,AE,1733614297.0
riversdale,18.1659,-76.9642,25.58,81.0,100.0,2.32,JM,1733614297.0
esztergom,47.7928,18.7415,3.71,98.0,100.0,1.61,HU,1733614297.0
port-aux-francais,-49.35,70.2167,5.1,96.0,100.0,8.95,TF,1733614298.0
punta arenas,-53.15,-70.9167,11.06,66.0,75.0,7.72,CL,1733613972.0
puerto ayora,-0.7393,-90.3518,22.53,94.0,61.0,2.68,EC,1733614313.0
tsetserleg,47.475,101.4542,-12.57,78.0,29.0,2.19,MN,1733614313.0
olonkinbyen,70.9221,-8.7187,-6.54,67.0,72.0,8.67,SJ,1733614314.0
puerto natales,-51.7236,-72.4875,10.25,57.0,40.0,9.77,CL,1733614314.0
corner brook,48.9667,-57.9484,-5.08,84.0,100.0,5.56,CA,1733614315.0
laguna,38.421,-121.4238,17.28,68.0,0.0,3.09,US,1733614224.0
inirida,3.8653,-67.9239,26.97,74.0,98.0,1.17,CO,1733614315.0
ust-nera,64.5667,143.2,-27.54,98.0,98.0,1.58,RU,1733614315.0
college,64.8569,-147.8028,-16.62,82.0,40.0,0.0,US,1733614315.0
aasiaat,68.7098,-52.8699,-1.54,61.0,100.0,7.67,GL,1733614055.0
badger,64.8,-147.5333,-15.86,85.0,0.0,0.0,US,1733614316.0
abuyog,10.6667,125.05,26.19,95.0,100.0,1.92,PH,1733614316.0
albany,42.6001,-73.9662,-0.77,71.0,100.0,0.45,US,1733613999.0
afaahiti,-17.75,-149.2833,25.6,81.0,96.0,9.26,PF,1733614316.0
margaret river,-33.95,115.0667,18.33,57.0,0.0,3.87,AU,1733614316.0
kamaishi,39.2667,141.8833,3.31,56.0,0.0,4.54,JP,1733614316.0
grytviken,-54.2811,-36.5092,-1.51,67.0,86.0,3.61,GS,1733614317.0
port alfred,-33.5906,26.891,20.1,88.0,5.0,1.34,ZA,1733614317.0
pujili,-0.95,-78.6833,12.1,71.0,40.0,1.03,EC,1733614317.0
udachny,66.4167,112.4,-25.57,99.0,92.0,2.97,RU,1733614320.0
tejen,37.3834,60.5054,0.66,53.0,8.0,2.71,TM,1733614320.0
fortaleza,-3.7227,-38.5247,27.34,78.0,0.0,3.6,BR,1733613774.0
bredasdorp,-34.5322,20.0403,15.69,80.0,25.0,0.44,ZA,1733614321.0
tamanrasset,22.785,5.5228,7.95,25.0,0.0,2.06,DZ,1733614321.0
iskateley,67.6803,53.1512,-11.88,94.0,28.0,5.36,RU,1733614321.0
susuman,62.7833,148.1667,-30.69,100.0,98.0,0.34,RU,1733614321.0
whitehorse,60.7161,-135.0538,-10.57,85.0,75.0,1.54,CA,1733614321.0
nova xavantina,-14.6667,-52.35,23.65,86.0,79.0,0.66,BR,1733614321.0
nar'yan-mar,67.6713,53.087,-11.86,94.0,30.0,5.34,RU,1733614322.0
crane,31.3974,-102.3501,9.39,76.0,65.0,3.89,US,1733614325.0
waitangi,-43.9535,-176.5597,15.46,80.0,41.0,1.79,NZ,1733614325.0
papatowai,-46.5619,169.4708,18.05,62.0,100.0,4.32,NZ,1733614325.0
tiksi,71.6872,128.8694,-26.41,99.0,81.0,3.11,RU,1733614325.0
berezovyy,51.6667,135.7,-18.21,83.0,50.0,1.42,RU,1733614325.0
kingston,17.997,-76.7936,27.53,69.0,75.0,6.17,JM,1733614171.0
kodiak,57.79,-152.4072,2.73,87.0,0.0,0.0,US,1733614332.0
bubaque,11.2833,-15.8333,27.04,64.0,98.0,2.44,GW,1733614333.0
lata,40.1629,-8.3327,5.4,85.0,15.0,2.19,PT,1733614333.0
edinburgh of the seven seas,-37.0676,-12.3116,16.06,92.0,100.0,16.16,SH,1733614333.0
sokcho,38.2083,128.5911,-0.66,37.0,0.0,6.69,KR,1733614333.0
gadzhiyevo,69.2551,33.3362,0.2,85.0,98.0,11.75,RU,1733614333.0
uturoa,-16.7333,-151.4333,27.42,76.0,62.0,8.83,PF,1733614334.0
falun,60.6036,15.626,-0.77,99.0,100.0,0.89,SE,1733614334.0
pacific grove,36.6177,-121.9166,17.98,87.0,0.0,3.09,US,1733614334.0
blackmans bay,-43.0167,147.3167,15.41,58.0,15.0,2.68,AU,1733614334.0
taro,-8.3862,115.28,24.18,80.0,100.0,0.42,ID,1733614334.0
avarua,-21.2078,-159.775,27.03,89.0,20.0,6.69,CK,1733614334.0
longyearbyen,78.2186,15.6401,-2.09,80.0,75.0,5.66,SJ,1733614335.0
new norfolk,-42.7826,147.0587,16.07,54.0,11.0,6.25,AU,1733614335.0
abnub,27.2696,31.1511,16.44,43.0,100.0,1.05,EG,1733614335.0
la sarre,48.8002,-79.1996,-11.83,95.0,100.0,4.23,CA,1733614335.0
cloquet,46.7216,-92.4594,4.38,68.0,0.0,0.0,US,1733614335.0
envira,-7.3,-70.2167,24.19,89.0,83.0,1.26,BR,1733614335.0
taltal,-25.4,-70.4833,18.1,74.0,24.0,1.02,CL,1733614336.0
fortuna,40.5982,-124.1573,14.51,97.0,75.0,0.0,US,1733614336.0
ancud,-41.8697,-73.8203,12.3,75.0,55.0,2.12,CL,1733614336.0
georgetown,5.4112,100.3354,25.96,88.0,20.0,1.03,MY,1733614193.0
newman,37.3138,-121.0208,15.59,72.0,83.0,0.89,US,1733614336.0
agnibilekrou,7.1344,-3.2047,24.74,68.0,97.0,1.1,CI,1733614336.0
guerrero negro,27.9769,-114.0611,20.16,50.0,0.0,4.66,MX,1733614336.0
keetmanshoop,-26.5833,18.1333,26.51,25.0,30.0,2.57,NA,1733614337.0
port elizabeth,-33.918,25.5701,20.73,94.0,0.0,2.57,ZA,1733614337.0
la'ie,21.6477,-157.9253,28.66,74.0,4.0,2.68,US,1733614337.0
hermanus,-34.4187,19.2345,16.56,82.0,4.0,1.88,ZA,1733614337.0
sisimiut,66.9395,-53.6735,-3.19,72.0,100.0,4.34,GL,1733614337.0
port lincoln,-34.7333,135.8667,17.94,58.0,53.0,3.45,AU,1733614337.0
qujing,25.4833,103.7833,5.68,94.0,100.0,2.22,CN,1733614338.0
salekhard,66.53,66.6019,-18.56,92.0,5.0,3.1,RU,1733614338.0
bel ombre,-4.6167,55.4167,24.91,83.0,75.0,4.12,SC,1733614339.0
vlore,40.4667,19.4897,11.2,71.0,22.0,3.16,AL,1733614339.0
sao joao de pirabas,-0.7747,-47.1772,23.56,92.0,94.0,1.57,BR,1733614339.0
ciudad melchor muzquiz,27.8833,-101.5167,9.44,85.0,100.0,1.4,MX,1733614339.0
argo,37.6333,22.7333,11.35,88.0,10.0,1.42,GR,1733614339.0
langarud,37.197,50.1535,11.03,83.0,88.0,2.1,IR,1733614340.0
ribeira grande,38.5167,-28.7,19.32,89.0,14.0,6.26,PT,1733614343.0
brownfield,33.1812,-102.2744,10.77,73.0,88.0,4.36,US,1733614343.0
wanning,18.8003,110.3967,19.59,78.0,41.0,5.46,CN,1733614343.0
rongelap,11.1635,166.8941,27.79,79.0,94.0,10.29,MH,1733614343.0
daokou,35.5639,114.5058,-1.68,49.0,0.0,3.32,CN,1733614343.0
kalispell,48.1958,-114.3129,0.65,91.0,100.0,2.06,US,1733614238.0
ribeira brava,32.65,-17.0667,19.45,67.0,100.0,4.14,PT,1733614344.0
atafu village,-8.5421,-172.5159,27.78,80.0,39.0,6.19,TK,1733614344.0
malango,-2.9627,119.9001,22.27,80.0,100.0,0.99,ID,1733614344.0
roches noire,-20.1111,57.7122,24.58,92.0,93.0,4.44,MU,1733614344.0
falmouth,50.1544,-5.0711,8.32,61.0,100.0,14.4,GB,1733614349.0
alo,6.5486,4.2686,26.52,83.0,100.0,1.0,NG,1733614350.0
thinadhoo,0.5333,72.9333,27.48,72.0,73.0,5.12,MV,1733614350.0
tazovsky,67.4667,78.7,-11.97,92.0,100.0,5.12,RU,1733614350.0
loukhi,66.0764,33.0381,-4.64,92.0,98.0,3.57,RU,1733614350.0
mawlaik,23.6333,94.4167,13.53,94.0,39.0,0.58,MM,1733614351.0
labytnangi,66.6572,66.4183,-17.6,90.0,5.0,2.91,RU,1733614352.0
carlsbad,33.1581,-117.3506,26.11,31.0,0.0,2.57,US,1733614352.0
huanren,41.2647,125.3667,-9.97,77.0,6.0,0.29,CN,1733614352.0
jinka,5.65,36.65,17.14,45.0,53.0,1.81,ET,1733614352.0
ola,59.5833,151.2833,-10.31,79.0,30.0,5.83,RU,1733614352.0
cabo san lucas,22.8909,-109.9124,25.42,50.0,100.0,1.03,MX,1733614165.0
callao,-12.0667,-77.15,24.29,77.0,0.0,6.17,PE,1733614245.0
cajabamba,-7.6167,-78.05,15.02,76.0,98.0,1.58,PE,1733614353.0
invercargill,-46.4,168.35,21.68,60.0,97.0,5.36,NZ,1733614353.0
vernon,50.2581,-119.2691,2.47,73.0,100.0,0.89,CA,1733614353.0
luchegorsk,46.4764,134.2569,-18.01,97.0,44.0,1.1,RU,1733614353.0
dzuunharaa,48.8523,106.4579,-15.38,88.0,5.0,1.17,MN,1733614353.0
east london,-33.0153,27.9116,20.77,85.0,39.0,5.45,ZA,1733614354.0
klyuchi,52.2667,79.1667,-9.91,95.0,90.0,3.75,RU,1733614354.0
vinton,37.281,-79.897,3.32,52.0,44.0,0.89,US,1733614354.0
yellowknife,62.456,-114.3525,-10.71,92.0,100.0,3.09,CA,1733614354.0
port douglas,-16.4833,145.4667,27.78,81.0,60.0,3.84,AU,1733614354.0
iqaluit,63.7506,-68.5145,-13.15,71.0,75.0,5.14,CA,1733614212.0
valday,57.9747,33.2525,-4.05,94.0,68.0,1.83,RU,1733614369.0
tibanbang,6.6315,126.1055,25.6,90.0,100.0,1.61,PH,1733614370.0
pisco,-13.7,-76.2167,20.03,77.0,0.0,9.26,PE,1733614370.0
lebu,-37.6167,-73.65,13.12,82.0,1.0,7.57,CL,1733614329.0
wailua homesteads,22.0669,-159.378,26.44,77.0,20.0,3.6,US,1733614370.0
port augusta,-32.5,137.7667,23.35,31.0,76.0,6.56,AU,1733614370.0
enewetak,11.3474,162.3373,27.72,81.0,88.0,10.57,MH,1733614370.0
pierre,44.3683,-100.351,12.93,35.0,0.0,3.6,US,1733614370.0
forster,-32.1667,152.5167,29.1,75.0,17.0,4.28,AU,1733614371.0
mohr,54.3528,9.7167,5.54,95.0,100.0,3.6,DE,1733614378.0
amlapura,-8.45,115.6167,26.63,73.0,89.0,0.3,ID,1733614378.0
new martinsville,39.6445,-80.8576,2.28,51.0,95.0,2.68,US,1733614359.0
calama,-22.4667,-68.9333,19.27,16.0,0.0,11.83,CL,1733614378.0
constantia,44.1833,28.65,10.39,87.0,97.0,6.24,RO,1733614156.0
portsmouth,50.799,-1.0913,8.28,68.0,100.0,12.96,GB,1733614300.0
marka,1.7159,44.7717,26.04,82.0,55.0,6.3,SO,1733614379.0
astara,38.5,48.6667,3.99,95.0,93.0,0.66,AZ,1733614379.0
kapa'a,22.0752,-159.319,27.18,77.0,20.0,3.6,US,1733614379.0
nogliki,51.8333,143.1667,-5.67,88.0,99.0,7.7,RU,1733614379.0
al jawf,29.5,38.75,16.89,52.0,100.0,3.86,SA,1733614379.0
ballina,-28.8667,153.5667,30.53,56.0,41.0,2.56,AU,1733614380.0
el bauga,18.262,33.9081,23.42,49.0,51.0,4.36,SD,1733614381.0
ilulissat,69.2167,-51.1,-0.99,51.0,100.0,8.23,GL,1733614375.0
chonchi,-42.6128,-73.8092,10.99,75.0,68.0,2.09,CL,1733614333.0
palikir - national government center,6.9248,158.1611,28.47,84.0,100.0,7.2,FM,1733614381.0
presidente epitacio,-21.7633,-52.1156,27.26,62.0,78.0,2.6,BR,1733614291.0
manta,-0.95,-80.7333,24.88,73.0,0.0,5.66,EC,1733614386.0
along,28.1667,94.7667,10.23,86.0,92.0,0.66,IN,1733614387.0
campbellton,48.0075,-66.6727,-8.75,84.0,56.0,3.32,CA,1733614387.0
fale old settlement,-9.3852,-171.2468,28.07,79.0,45.0,6.17,TK,1733614387.0
al qubbah,32.7616,22.2424,10.01,80.0,1.0,8.61,LY,1733614387.0
vila franca do campo,37.7167,-25.4333,18.27,99.0,40.0,2.84,PT,1733614387.0
menongue,-14.6585,17.691,20.33,68.0,90.0,4.28,AO,1733614387.0
san mariano,7.5,126.0,23.61,99.0,100.0,0.76,PH,1733614387.0
taghazout,30.5426,-9.7112,19.1,50.0,86.0,3.51,MA,1733614388.0
vangaindrano,-23.35,47.6,22.83,93.0,0.0,2.14,MG,1733614388.0
thompson,55.7435,-97.8558,-13.91,78.0,100.0,2.57,CA,1733614388.0
stanley,54.868,-1.6985,5.29,92.0,75.0,14.4,GB,1733614388.0
mahina,-17.5065,-149.489,29.87,62.0,75.0,8.75,PF,1733614388.0
lesogorsk,56.0458,99.5136,-7.25,97.0,100.0,1.49,RU,1733614388.0
utrik,11.2278,169.8474,27.58,80.0,84.0,10.28,MH,1733614388.0
konarka,19.9,86.1167,22.54,83.0,99.0,3.33,IN,1733614389.0
dawei,14.0833,98.2,23.96,78.0,50.0,2.32,MM,1733614389.0
illizi,26.4833,8.4667,10.22,39.0,0.0,1.78,DZ,1733614389.0
katsuren-haebaru,26.3369,127.8719,18.21,78.0,100.0,9.26,JP,1733614389.0
nova sintra,14.8667,-24.7167,25.46,73.0,100.0,5.06,CV,1733614389.0
selfoss,63.9331,-20.9971,-3.86,79.0,85.0,2.29,IS,1733614389.0
naze,28.3667,129.4833,14.51,64.0,98.0,9.74,JP,1733614390.0
karratha,-20.7377,116.8463,29.56,58.0,92.0,2.46,AU,1733614390.0
buri ram,14.9943,103.1039,21.78,73.0,11.0,5.62,TH,1733614159.0
richards bay,-28.783,32.0377,22.3,82.0,100.0,2.23,ZA,1733614390.0
dompu,-8.5356,118.4622,26.17,90.0,100.0,0.55,ID,1733614397.0
coquimbo,-29.9533,-71.3436,16.85,70.0,20.0,4.63,CL,1733614113.0
smithers,54.7804,-127.1743,4.18,87.0,75.0,1.54,CA,1733614348.0
buka,40.8108,69.1986,-0.75,64.0,100.0,2.44,UZ,1733614398.0
sinabang,2.4803,96.3801,25.94,84.0,93.0,0.29,ID,1733614398.0
acucena,-19.0731,-42.5464,20.3,77.0,71.0,1.29,BR,1733614398.0
at taj,24.2049,23.2857,11.3,53.0,0.0,2.63,LY,1733614398.0
touros,-5.1989,-35.4608,25.77,78.0,7.0,4.71,BR,1733614398.0
soio,-6.1349,12.3689,25.81,88.0,100.0,5.08,AO,1733614398.0
mount gambier,-37.8333,140.7667,16.87,48.0,20.0,4.16,AU,1733614398.0
deqen,29.9618,90.7188,-5.9,75.0,0.0,2.02,CN,1733614399.0
ambato boeny,-16.4667,46.7167,25.01,86.0,0.0,1.17,MG,1733614399.0
wulingyuan,29.3494,110.5441,2.67,65.0,87.0,1.57,CN,1733614399.0
nguigmi,14.2495,13.1092,17.15,18.0,1.0,5.3,NE,1733614400.0
port mathurin,-19.6833,63.4167,24.97,85.0,98.0,8.69,MU,1733614400.0
happy valley-goose bay,53.3168,-60.3315,-9.83,85.0,100.0,4.63,CA,1733614401.0
kazimierza wielka,50.2656,20.4936,-0.72,89.0,13.0,1.07,PL,1733614401.0
i-n-salah,27.1935,2.4607,13.58,30.0,7.0,1.87,DZ,1733614401.0
bangjun,39.9911,117.2628,-4.05,33.0,0.0,3.5,CN,1733614401.0
yuxia,34.0615,108.6291,1.15,41.0,99.0,0.54,CN,1733614401.0
wynyard,-41.0,145.7167,14.55,70.0,64.0,2.68,AU,1733614402.0
sao tome,0.3365,6.7273,26.54,81.0,87.0,3.05,ST,1733614402.0
chapaev,50.2,51.1667,-7.12,59.0,73.0,3.89,KZ,1733614407.0
jamestown,42.097,-79.2353,0.01,63.0,100.0,6.69,US,1733614407.0
talnakh,69.4865,88.3972,-20.71,100.0,100.0,1.09,RU,1733614408.0
zaozersk,69.4005,32.4476,-0.18,88.0,87.0,11.75,RU,1733614411.0
rio grande,-32.035,-52.0986,16.28,70.0,43.0,6.57,BR,1733614326.0
kourou,5.1552,-52.6478,23.97,92.0,35.0,2.48,GF,1733614411.0
saipan,15.1355,145.701,30.39,68.0,0.0,7.2,MP,1733614411.0
